,name,link,min_salary,max_salary,currency,source_site
122,Data Scientist,https://hh.ru/vacancy/49782140?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
123,Data Scientist в СберМаркет в команду эффективности платформы,https://hh.ru/vacancy/50883997?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
124,Founding Data scientist / Machine Learning Engineer,https://hh.ru/vacancy/51448522?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,500000.0,,руб.,https://hh.ru
125,Senior Data Analyst,https://hh.ru/vacancy/51843684?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
126,Data Scientist,https://hh.ru/vacancy/51419263?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,4000.0,5500.0,EUR,https://hh.ru
127,Data Scientist в СберМаркет [команда поиска],https://hh.ru/vacancy/50883996?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
128,Data scientist (middle),https://hh.ru/vacancy/51619232?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
129,Data Engineer (Opportunity 3),https://hh.ru/vacancy/50411527?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
130,Data Scientist / Аналитик (эконометрическое моделирование),https://hh.ru/vacancy/43822820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
131,Data scientist/analyst,https://hh.ru/vacancy/51615453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
132,Data Engineer/DevOps,https://hh.ru/vacancy/51968595?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
133,Data Scientist,https://hh.ru/vacancy/51650129?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
134,Data scientist,https://hh.ru/vacancy/50236217?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
135,Data scientist по построению моделей оценки кредитного риска (Big Data),https://hh.ru/vacancy/43366306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
136,Data Scientist (направление промышленной разработки библиотеки),https://hh.ru/vacancy/51640899?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
137,Data Scientist,https://hh.ru/vacancy/50562309?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
138,Data Scientist в СберМаркет в команду эффективности платформы,https://hh.ru/vacancy/50883995?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
139,Data Scientist,https://hh.ru/vacancy/50602043?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
140,Data Scientist (Computer Vision) Middle,https://hh.ru/vacancy/47765653?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,180000.0,300000.0,руб.,https://hh.ru
